,Billing Dispute,Broadband Performance,Call Drops,Cancellation,Customer Service,Data / Usage Issue,Equipment / Router,Installation,Network Connectivity,Service Outage,Service Request
Billing Dispute,76,4,2,0,2,0,0,0,0,1,12
Broadband Performance,0,33,0,0,0,0,0,0,0,0,5
Call Drops,0,0,4,0,0,0,0,0,0,0,0
Cancellation,0,0,0,3,0,0,0,0,0,0,0
Customer Service,0,0,0,0,9,0,0,0,0,0,1
Data / Usage Issue,0,0,0,0,0,35,0,0,0,0,0
Equipment / Router,1,0,0,0,0,0,0,0,0,0,0
Installation,0,0,0,0,0,0,0,0,0,0,2
Network Connectivity,0,0,0,0,0,0,0,0,1,0,0
Service Outage,0,0,0,0,0,0,0,0,0,7,2
Service Request,4,0,0,0,0,1,0,0,0,1,128
