,Billing Dispute,Broadband Performance,Call Drops,Cancellation,Customer Service,Data / Usage Issue,Equipment / Router,Installation,Network Connectivity,Service Outage,Service Request
Billing Dispute,81,3,0,0,0,1,0,0,0,1,10
Broadband Performance,0,37,0,0,0,0,0,0,0,0,1
Call Drops,0,0,0,0,0,0,0,0,0,0,4
Cancellation,0,0,0,0,0,0,0,0,0,0,3
Customer Service,0,0,0,0,8,0,0,0,0,0,1
Data / Usage Issue,0,0,0,0,0,34,0,0,0,0,1
Equipment / Router,1,0,0,0,0,0,0,0,0,0,0
Installation,0,0,0,0,0,0,0,0,0,0,3
Network Connectivity,0,0,0,0,0,0,0,0,0,0,1
Service Outage,0,0,0,0,0,0,0,0,0,3,6
Service Request,2,1,0,0,0,1,0,0,0,0,128
